Symbol,Description,Entrez ID,Chromosome,logFC,AveExpr,P,P (adj.)
LOC81691,exonuclease NEF-sp,81691,16,0.6324,2.744,3.68E-10,9.66E-06
PCDHGC3,"protocadherin gamma subfamily C, 3",5098,5,-0.603,4.52,2.00E-07,0.001746
ERCC4,excision repair cross-complementation group 4,2072,16,0.2875,4.779,2.61E-07,0.001746
POLA2,"polymerase (DNA) alpha 2, accessory subunit",23649,11,0.3974,4.678,2.66E-07,0.001746
ESPL1,"extra spindle pole bodies like 1, separase",9700,12,0.6425,4.404,4.36E-07,0.001953
SGOL1,shugoshin-like 1 (S. pombe),151648,3,0.698,3.485,5.04E-07,0.001953
SLC27A1,solute carrier family 27 member 1,376497,19,-0.4281,3.379,5.83E-07,0.001953
SH3TC1,SH3 domain and tetratricopeptide repeats 1,54436,4,-0.6474,3.694,6.69E-07,0.001953
KCND3,potassium voltage-gated channel subfamily D member 3,3752,1,-1.125,2.51,8.34E-07,0.002192
ZSWIM6,zinc finger SWIM-type containing 6,57688,5,-0.3564,5.087,1.08E-06,0.002582
DPYSL5,dihydropyrimidinase like 5,56896,2,1.591,-4.674,6.43E-07,0.001953
GALNT18,polypeptide N-acetylgalactosaminyltransferase 18,374378,11,-0.5965,2.235,1.22E-06,0.00262
NUF2,"NUF2, NDC80 kinetochore complex component",83540,1,0.755,4.076,1.50E-06,0.00262
RNFT2,"ring finger protein, transmembrane 2",84900,12,0.7554,2.031,1.36E-06,0.00262
PHF6,PHD finger protein 6,84295,X,0.2976,5.648,1.98E-06,0.002978
DSN1,"DSN1 homolog, MIS12 kinetochore complex component",79980,20,0.3937,4.203,2.15E-06,0.002978
LPAR1,lysophosphatidic acid receptor 1,1902,9,-0.723,2.844,2.14E-06,0.002978
RFC5,replication factor C subunit 5,5985,12,0.4363,4.342,3.15E-06,0.004114
LCMT1,leucine carboxyl methyltransferase 1,51451,16,0.257,5.352,3.29E-06,0.004114
RDM1,RAD52 motif containing 1,201299,17,0.8747,-0.3073,1.83E-06,0.002978
ATP2A1-AS1,ATP2A1 antisense RNA 1,100289092,16,0.7013,-1.237,1.48E-06,0.00262
HMGXB3,HMG-box containing 3,22993,5,-0.2459,5.909,4.00E-06,0.00445
CHST3,carbohydrate (chondroitin 6) sulfotransferase 3,9469,10,-0.6515,3.092,4.10E-06,0.00445
RAD51AP1,RAD51 associated protein 1,10635,12,0.5827,3.057,4.39E-06,0.00445
CENPL,centromere protein L,91687,1,0.4615,1.907,3.93E-06,0.00445
BRCC3,BRCA1/BRCA2-containing complex subunit 3,79184,X,0.3501,4.198,4.74E-06,0.00445
LYRM1,LYR motif containing 1,57149,16,0.3401,1.994,4.62E-06,0.00445
SEPT3,septin 3,55964,22,1.044,1.395,4.73E-06,0.00445
CHAF1B,chromatin assembly factor 1 subunit B,8208,21,0.5241,3.974,6.57E-06,0.005106
FANCI,Fanconi anemia complementation group I,55215,15,0.4568,7.588,6.35E-06,0.005106
ARL6IP1,ADP ribosylation factor like GTPase 6 interacting protein 1,23204,16,0.3881,6.499,6.61E-06,0.005106
PRIM1,primase (DNA) subunit 1,5557,12,0.4313,4.14,7.13E-06,0.00535
TEX30,testis expressed 30,93081,13,0.4253,1.768,6.54E-06,0.005106
SKA1,spindle and kinetochore associated complex subunit 1,220134,18,0.6742,1.175,6.11E-06,0.005106
TMEM204,transmembrane protein 204,79652,16,-0.59,0.373,5.07E-06,0.004592
SPAG5,sperm associated antigen 5,10615,17,0.5373,6.051,8.17E-06,0.005652
COPA,coatomer protein complex subunit alpha,1314,1,0.3053,8.528,7.74E-06,0.005497
INCENP,inner centromere protein,3619,11,0.3798,5.365,8.81E-06,0.005936
OIP5,Opa interacting protein 5,11339,15,0.6339,1.148,7.68E-06,0.005497
NCSTN,nicastrin,23385,1,0.3342,7.973,1.04E-05,0.006804
TNS2,tensin 2,23371,12,-0.5006,4.912,1.12E-05,0.00707
CEP85,centrosomal protein 85kDa,64793,1,0.3792,4.755,1.16E-05,0.007107
POLE,"polymerase (DNA) epsilon, catalytic subunit",5426,12,0.357,6.531,1.13E-05,0.00707
RFC4,replication factor C subunit 4,5984,3,0.443,4.568,1.30E-05,0.007397
TMPO,thymopoietin,7112,12,0.3728,7.601,1.25E-05,0.007397
E2F1,E2F transcription factor 1,1869,20,0.7032,2.528,1.27E-05,0.007397
PRC1,protein regulator of cytokinesis 1,9055,15,0.5203,5.194,1.44E-05,0.008066
PTPRE,"protein tyrosine phosphatase, receptor type E",5791,10,-0.4484,4.847,1.50E-05,0.008121
MYBL2,MYB proto-oncogene like 2,4605,20,0.7439,5.315,1.52E-05,0.008121
CCNB2,cyclin B2,9133,15,0.5576,3.983,1.56E-05,0.008175
CCNA2,cyclin A2,890,4,0.525,4.696,1.67E-05,0.008175
PLK1,polo like kinase 1,5347,16,0.5369,4.307,1.69E-05,0.008175
MCM4,minichromosome maintenance complex component 4,4173,8,0.4999,6.976,1.68E-05,0.008175
KIF15,kinesin family member 15,56992,3,0.5741,4.354,1.79E-05,0.008175
NUSAP1,nucleolar and spindle associated protein 1,51203,15,0.5169,5.125,1.79E-05,0.008175
CACYBP,calcyclin binding protein,27101,1,0.417,5.082,1.89E-05,0.008273
RFC3,replication factor C subunit 3,5983,13,0.4206,3.93,2.06E-05,0.008699
SATL1,spermidine/spermine N1-acetyl transferase-like 1,340562,X,0.8649,-5.196,1.78E-05,0.008175
CDC25C,cell division cycle 25C,995,5,0.5907,2.041,1.89E-05,0.008273
MCM2,minichromosome maintenance complex component 2,4171,3,0.5814,4.957,2.08E-05,0.008699
NFIA,nuclear factor I/A,4774,1,-0.5668,6.056,2.09E-05,0.008699
RAPGEF3,Rap guanine nucleotide exchange factor 3,10411,12,-0.6821,3.158,2.15E-05,0.008701
HIST1H2AM,"histone cluster 1, H2am",8336,6,0.5475,5.877,2.14E-05,0.008701
ZWINT,ZW10 interacting kinetochore protein,11130,10,0.539,3.428,2.22E-05,0.00872
RCBTB2,RCC1 and BTB domain containing protein 2,1102,13,-0.3755,3.426,2.30E-05,0.00872
USP39,ubiquitin specific peptidase 39,10713,2,0.2202,6.071,2.32E-05,0.00872
FAM72B,family with sequence similarity 72 member B,653820,1,0.6431,0.317,1.75E-05,0.008175
IFNGR1,interferon gamma receptor 1,3459,6,-0.3593,6.792,2.42E-05,0.00872
EME1,essential meiotic structure-specific endonuclease 1,146956,17,0.5281,2.037,2.42E-05,0.00872
FHL3,four and a half LIM domains 3,2275,1,-0.4413,2.037,2.41E-05,0.00872
TGFB1,transforming growth factor beta 1,7040,19,-0.4822,5.494,2.57E-05,0.008956
THBD,thrombomodulin,7056,20,-0.769,5.643,2.59E-05,0.008956
LAGE3,L antigen family member 3,8270,X,0.4176,1.557,2.32E-05,0.00872
MAGOHB,"mago homolog B, exon junction complex core component",55110,12,0.2939,3.173,2.66E-05,0.009083
NCAPH,non-SMC condensin I complex subunit H,23397,2,0.524,4.487,2.97E-05,0.009913
NOTCH4,notch 4,4855,6,-0.4746,3.916,3.02E-05,0.009913
NCAPG,non-SMC condensin I complex subunit G,64151,4,0.5368,4.835,3.31E-05,0.0107
