Direction,Name,Identified Genes,S,N,P (adj.)
Up,DNA replication,"DNA2, FEN1, LIG1, MCM2, MCM4, MCM6, MCM7, PCNA, POLA2, POLE, POLE2, PRIM1, PRIM2, RFC2, RFC3, RFC4, RFC5, RNASEH2A, RPA1, RPA3",20,36,1.46536E-18
Up,Cell cycle,"BUB1, BUB1B, CCNA2, CCNB2, CCNE1, CCNE2, CDC20, CDC25A, CDC25C, CDC6, CDK1, CDK2, CDKN2A, DBF4, E2F1, E2F2, ESPL1, MAD2L1, MAD2L2, MCM2, MCM4, MCM6, MCM7, ORC1, ORC6, PCNA, PLK1, SKP2, SMC3, TFDP1, TTK, YWHAB",32,124,4.69647E-18
Up,Fanconi anemia pathway,"BLM, BRCA1, BRCA2, BRIP1, EME1, ERCC4, FANCA, FANCB, FANCD2, FANCI, PALB2, RAD51, RAD51C, RMI1, RMI2, RPA1, RPA3, TOP3A, UBE2T",19,53,1.38345E-13
Up,Systemic lupus erythematosus,"H2AFV, H2AFZ, HIST1H2AB, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AM, HIST1H2BC, HIST1H2BD, HIST1H2BF, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BN, HIST1H2BO, HIST1H3B, HIST1H3D, HIST1H3H, HIST1H4A, HIST1H4B, HIST2H2AB, HIST2H2AC, HIST2H2BE, HIST2H2BF, HIST2H3D, HIST3H2A, IFNG",27,134,1.55282E-12
Up,Alcoholism,"CREB3L4, H2AFV, H2AFZ, HIST1H2AB, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AM, HIST1H2BC, HIST1H2BD, HIST1H2BF, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BN, HIST1H2BO, HIST1H3B, HIST1H3D, HIST1H3H, HIST1H4A, HIST1H4B, HIST2H2AB, HIST2H2AC, HIST2H2BE, HIST2H2BF, HIST2H3D, HIST3H2A",27,179,1.59989E-09
Up,Homologous recombination,"BLM, BRCA2, EME1, RAD51, RAD51C, RAD54L, RPA1, RPA3, TOP3A, XRCC2, XRCC3",11,28,1.43217E-08
Up,Mismatch repair,"EXO1, LIG1, PCNA, RFC2, RFC3, RFC4, RFC5, RPA1, RPA3",9,23,4.4705E-07
Up,Nucleotide excision repair,"CETN2, ERCC4, LIG1, PCNA, POLE, POLE2, RFC2, RFC3, RFC4, RFC5, RPA1, RPA3",12,47,4.99876E-07
Up,Oocyte meiosis,"AURKA, BUB1, CCNB2, CCNE1, CCNE2, CDC20, CDC25C, CDK1, CDK2, ESPL1, FBXO5, MAD2L1, MAD2L2, PLK1, SGOL1, SMC3, YWHAB",17,113,3.1994E-06
Up,Viral carcinogenesis,"CCNA2, CCNE1, CCNE2, CDC20, CDK1, CDK2, CDKN2A, CREB3L4, GTF2E1, HIST1H2BC, HIST1H2BD, HIST1H2BF, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BN, HIST1H2BO, HIST1H4A, HIST1H4B, HIST2H2BE, HIST2H2BF, SKP2, YWHAB",23,206,6.40146E-06
Up,Base excision repair,"FEN1, LIG1, NEIL3, PARP1, PARP2, PCNA, POLE, POLE2, UNG",9,33,9.84808E-06
Up,p53 signaling pathway,"CCNB2, CCNE1, CCNE2, CDK1, CDK2, CDKN2A, GTSE1, PPM1D, RFWD2, RRM2",10,68,0.000800913
Up,Spliceosome,"HNRNPM, LSM3, LSM4, LSM5, MAGOHB, PRPF19, SF3B2, SF3B3, SF3B4, SNRNP40, SNRPA1, SNRPC, USP39, WBP11",14,132,0.001320816
Up,Proteasome,"IFNG, PSMA4, PSMB2, PSMB4, PSMC4, PSMD4, PSMD7",7,44,0.00450352
Up,Progesterone-mediated oocyte maturation,"BUB1, CCNA2, CCNB2, CDC25A, CDC25C, CDK1, CDK2, MAD2L1, MAD2L2, PLK1",10,88,0.005360509
Up,MicroRNAs in cancer,"BRCA1, CCNE1, CCNE2, CDC25A, CDC25C, CDCA5, CDKN2A, DNMT1, E2F1, E2F2, EZH2, KIF23, STMN1, TRIM71",14,186,0.029772601
Up,Pyrimidine metabolism,"CTPS1, DTYMK, POLA2, POLE, POLE2, PRIM1, PRIM2, RRM2, TYMS",9,104,0.051518121
Up,RNA degradation,"CNOT10, EXOSC2, EXOSC8, LSM3, LSM4, LSM5, PARN",7,76,0.077082794
Down,Cytokine-cytokine receptor interaction,"ACVR1, CCL24, FLT4, IFNGR1, IL4R, IL6ST, KIT, LIF, PDGFA, PDGFRB, TGFB1, TGFBR2, TNFRSF10B, TNFRSF14, TNFRSF1A",15,264,0.083471991
