genes,pathway
FGFR3,FGFR3 related
TP63,FGFR3 related
WNT7B,FGFR3 related
CD8A,T-effector
GZMA,T-effector
GZMB,T-effector
PRF1,T-effector
INFG,T-effector
CXCL9,T-effector
CXCL10,T-effector
TBX21,T-effector
TABBP,Antigen processing machinery
TAP1,Antigen processing machinery
TAP2,Antigen processing machinery
B2M,Antigen processing machinery
HLA-A,Antigen processing machinery
HLA-B,Antigen processing machinery
HLA-C,Antigen processing machinery
CD274,Immune Checkpoint
PDCD1LG2,Immune Checkpoint
CTLA4,Immune Checkpoint
PDCD1,Immune Checkpoint
LAG3,Immune Checkpoint
HAVCR2,Immune Checkpoint
TIGIT,Immune Checkpoint
MKI67,Cell cycle
CCNE1,Cell cycle
BUB1,Cell cycle
BUB1B,Cell cycle
CCNB2,Cell cycle
CDC25C,Cell cycle
CDK2,Cell cycle
MCM4,Cell cycle
MCM6,Cell cycle
MCM2,Cell cycle
HIST1H2AI,DNA replication-dependent histones
HIST1H2AG,DNA replication-dependent histones
HIST1H2BL,DNA replication-dependent histones
HIST2H2BF,DNA replication-dependent histones
BRCA2,DDR
ERCC2,DDR
ERCC4,DDR
FANCA,DDR
FANCB,DDR
FANCD2,DDR
PALB2,DDR
POLE,DDR
RAD51C,DDR
TGFB1,TGFB
TGFBR2,TGFB
ACTA2,Pan-F-TBRS
COL4A1,Pan-F-TBRS
TAGLN,Pan-F-TBRS
SH3PXD2A,Pan-F-TBRS
EDNRPB,Angio
TEK,Angio
CDH5,Angio
SOX17,Angio
SOX18,Angio
CLDN3,EMT
CLDN7,EMT
CLDN4,EMT
CDH1,EMT
VIM,EMT
TWIST1,EMT
ZEB1,EMT
ZEB2,EMT
