Search Conditions

Interferome Type	II
Interferome SubType	IFNgamma
Treatment Concentration	Any
Treatment Time	Any
Vivo/Vitro	Any
Species	Homo sapiens
System	Any
Organ	Any
Cell	Any
Cell Line	Any
Normal/Abnormal	Any
Fold Change Up	2.0
Fold Change Down	2.0
Gene Symbol List	GBP5;CTLA4;CXCL9;CXCL10;ICOS;TNIP3;CXCR6;CXCL11;IL2RB;IDO1;GZMB;CD2;PDCD1;PSMB9;ZBP1;CCR8;STAT1;GZMA;SIRPG;CD3E;GBP1;IFNG;FOXP3;TNFRSF9;CD38;SLAMF1;CD3G;CD274;CD7;NKG7;CD27;PRF1;TIGIT;CD80;IL12RB1;SLAMF8;CD8A;PTPN7;KIR2DL4;CCL5;PLA2G2D;IL21R;CXCL13;GZMH;WARS;CD3D;PTPN22;PYHIN1;IL2RG;PDCD1LG2;LAX1;SLA2;SLAMF6;LAMP3;CCR5;LAG3;ITK;CST7;IL12RB2;SH2D1A;CCL4;EPSTI1;P2RY10;GBP4;ITGAL;IRF1;THEMIS;JAKMIP1;FASLG;UBD;GPR174;GNLY;GFI1;UBE2L6;NLRC5;CXCR3;PTPRC;FCRL5;RUNX3;MZB1;ZC3H12D;SAMSN1;IRF4;IGLL5;ITGAE;SLFN12L;PLEK;CCR4;CRTAM;CXCR2P1;FYB;LAP3;CCL18;FAM26F;IKZF1;GPR171;TNFSF13B;UBASH3A;RHOH;GZMK;BTLA;IFI30;ACAP1;ADAMDEC1;IL4I1;ZNF831;FCRL3;TLR8;JCHAIN;EOMES;SP140;TRAT1;IL21;CYTIP;CD6;LCP2;CD5;TYMP;LYZ;CD226;CD53;CD247;NCR1;CD48;SLAMF7;1-Sep;IL2RA;LILRB4;IL10RA;PARP9;ZAP70;SIGLEC10;TAGAP;PIM2;HCST;TBX21;C1QB;TAP1;TFEC;SASH3;TRAF3IP3;BCL2A1;SLA;KLRD1;MYO1G;KLRK1;MAP4K1;HLA-DRA;IL18RAP;SAMHD1;CYBB;MCOLN2;ANKRD36BP2;BIRC3;RGS1;HAVCR2;ABCD2;FGL2;KLRC2;RASGRP1;WAS;DOCK2;HEATR9;SCML4;KLRC1;LTA;IFIH1;ARHGAP9;NLRC3;C1QA;IL7R;BIN2;KIAA0125;AIF1;DENND1C;LCK;CD52;DOK2;HLA-DMB;SAMD3;EVI2B;TBC1D10C;FUT7;AOAH;LILRB1;HLA-F;HLA-B;LY9;IGSF6;C1QC;SIT1;TOX;ITGB2;KLRC3;CR1L;SPOCK2;SAMD9L;CD84;TNFRSF17;NCF1;SPI1;GZMM;B2M;KLRC4;CARD17;NCKAP1L;CSF2RB;FPR3;GPR132;HLA-DPB1;SNX20;GPR183;APOL6;CD74;TSHR;CXorf21;BATF2;FMNL1;FCER1G;CLEC4E;IL32;CCR2;GVINP1;KIR3DX1;LILRB2;CD86;STX11;CLEC7A;ISG20;SRGN;LAIR2;TNFRSF18;IL12B;STAT4;PARP14;GPR65;GRAP2;CLEC6A;HLA-DRB1;ADGRG5;CASP5;HLA-DOB;STAP1;IFITM1;CORO1A;CARD16;SCIMP;KCNA3;TNFRSF8;MNDA;CD28;TYROBP;LST1;HERC5;LAIR1;LTB;EVI2A;IRF8;HCK;CD180;HLA-DPA1;POU2AF1;ARHGAP15;NCF1C;CCL8;ICAM1;APOL3;IFIT3;PDE4B;HCP5;ODF3B;C4orf50;CLNK;ADGRE1;BTK;CCL4L1;JAK3;CCL3;TMEM156;ARHGAP25;CIITA;TTC24;PVRIG;CEP128;SELPLG;SPN;C3AR1;CYTH4;NOD2;ZNF80;ZNF683;DCANP1;CD300LF;SH2D2A;LCP1;CMKLR1;RAC2;SUSD3;PIK3AP1;CD79A

Found a total of 159 Gene(s)

Ensembl Id	Gene Name	Description	Entrez	Genbank	UniGene
ENSG00000128284	APOL3	apolipoprotein L, 3 [Source:HGNC Symbol;Acc:14868]	80833		Hs.690817
ENSG00000221963	APOL6	apolipoprotein L, 6 [Source:HGNC Symbol;Acc:14870]	80830	ACN51253	Hs.636032
ENSG00000123329	ARHGAP9	Rho GTPase activating protein 9 [Source:HGNC Symbol;Acc:14130]	64333		Hs.733177
ENSG00000166710	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:914]	567	AAD14387	Hs.734579
ENSG00000168062	BATF2	basic leucine zipper transcription factor, ATF-like 2 [Source:HGNC Symbol;Acc:25163]	116071		Hs.124840
ENSG00000140379	BCL2A1	BCL2-related protein A1 [Source:HGNC Symbol;Acc:991]	597	AAC50288	
ENSG00000023445	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:591]	330		Hs.732738
ENSG00000173372	C1QA	complement component 1, q subcomponent, A chain [Source:HGNC Symbol;Acc:1241]	712		
ENSG00000173369	C1QB	complement component 1, q subcomponent, B chain [Source:HGNC Symbol;Acc:1242]	713	AAQ67338	
ENSG00000171860	C3AR1	complement component 3a receptor 1 [Source:HGNC Symbol;Acc:1319]	719		Hs.591148
ENSG00000204397	CARD16	caspase recruitment domain family, member 16 [Source:HGNC Symbol;Acc:33701]	114769		Hs.348365
ENSG00000137757	CASP5	caspase 5, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1506]	838	ABB58698	Hs.213327
ENSG00000006074	CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated) [Source:HGNC Symbol;Acc:10616]	6362	BAA21670	Hs.669458
ENSG00000129277	CCL4	chemokine (C-C motif) ligand 4 [Source:HGNC Symbol;Acc:10630]	6351	AAX07293	
ENSG00000161570	CCL5	chemokine (C-C motif) ligand 5 [Source:HGNC Symbol;Acc:10632]	6352		Hs.705978
ENSG00000271503	CCL5	chemokine (C-C motif) ligand 5 [Source:HGNC Symbol;Acc:10632]	6352		Hs.705978
ENSG00000108700	CCL8	chemokine (C-C motif) ligand 8 [Source:HGNC Symbol;Acc:10635]	6355	EAW80207	Hs.713001
ENSG00000150637	CD226	CD226 molecule [Source:HGNC Symbol;Acc:16961]	10666	AAC50560	Hs.660130
ENSG00000198821	CD247	CD247 molecule [Source:HGNC Symbol;Acc:1677]	919	ACC61185	Hs.669326
ENSG00000120217	CD274	CD274 molecule [Source:HGNC Symbol;Acc:17635]	29126	ABB90152	Hs.712746
ENSG00000178562	CD28	CD28 molecule [Source:HGNC Symbol;Acc:1653]	940	AAA60581	Hs.1987
ENSG00000004468	CD38	CD38 molecule [Source:HGNC Symbol;Acc:1667]	952		Hs.735022
ENSG00000169442	CD52	CD52 molecule [Source:HGNC Symbol;Acc:1804]	1043	CAA44323	Hs.276770
ENSG00000019582	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain [Source:HGNC Symbol;Acc:1697]	972		Hs.436568
ENSG00000066294	CD84	CD84 molecule [Source:HGNC Symbol;Acc:1704]	8832	CAA11264	Hs.610260
ENSG00000114013	CD86	CD86 molecule [Source:HGNC Symbol;Acc:1705]	942		Hs.171182
ENSG00000179583	CIITA	class II, major histocompatibility complex, transactivator [Source:HGNC Symbol;Acc:7067]	4261		Hs.716787
ENSG00000102879	CORO1A	coronin, actin binding protein, 1A [Source:HGNC Symbol;Acc:2252]	11151	BAA07940	
ENSG00000100368	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) [Source:HGNC Symbol;Acc:2436]	1439	BAG64130	Hs.285401
ENSG00000077984	CST7	cystatin F (leukocystatin) [Source:HGNC Symbol;Acc:2479]	8530	AAC39788	
ENSG00000169245	CXCL10	chemokine (C-X-C motif) ligand 10 [Source:HGNC Symbol;Acc:10637]	3627	CAA26370	Hs.632586
