Symbol,Description,Entrez ID,Chromosome,logFC,AveExpr,P,P (adj.),,,,,,,,,,,
GBP5,guanylate binding protein 5,115362,1,2.47,4.346,1.56E-41,4.11E-37,,,,,,,,,,,
CTLA4,cytotoxic T-lymphocyte associated protein 4,1493,2,2.367,1.787,4.92E-40,6.46E-36,,,,,,,,,,,
CXCL9,C-X-C motif chemokine ligand 9,4283,4,3.36,2.749,3.21E-39,2.81E-35,,,,,,,,,,,
CXCL10,C-X-C motif chemokine ligand 10,3627,4,2.87,3.249,4.27E-38,2.80E-34,,,,,,,,,,,
ICOS,inducible T-cell co-stimulator,29851,2,2.259,1.798,3.77E-37,1.98E-33,,,,,,,,,,,
TNIP3,TNFAIP3 interacting protein 3,79931,4,2.253,-0.2729,3.97E-36,1.74E-32,,,,,,,,,,,
CXCR6,chemokine (C-X-C motif) receptor 6,10663,3,1.861,1.196,2.35E-34,8.81E-31,,,,,,,,,,,
CXCL11,C-X-C motif chemokine ligand 11,6373,4,2.885,0.294,8.78E-34,2.88E-30,,,,,,,,,,,
IL2RB,interleukin 2 receptor subunit beta,3560,22,1.605,2.08,5.65E-33,1.65E-29,,,,,,,,,,,
IDO1,"indoleamine 2,3-dioxygenase 1",3620,8,2.62,2.679,9.59E-33,2.52E-29,,,,,,,,,,,
GZMB,granzyme B,3002,14,2.395,1.446,2.64E-32,6.30E-29,,,,,,,,,,,
CD2,CD2 molecule,914,1,1.873,3.587,3.24E-32,7.10E-29,,,,,,,,,,,
PDCD1,programmed cell death 1,5133,2,2.191,-1.08,3.52E-32,7.11E-29,,,,,,,,,,,
PSMB9,proteasome subunit beta 9,5698,6,1.496,3.547,1.14E-31,2.14E-28,,,,,,,,,,,
ZBP1,Z-DNA binding protein 1,81030,20,2.113,1.525,1.60E-31,2.81E-28,,,,,,,,,,,
CCR8,chemokine (C-C motif) receptor 8,1237,3,2.035,-0.02554,2.48E-31,4.08E-28,,,,,,,,,,,
STAT1,signal transducer and activator of transcription 1,6772,2,1.066,9.237,2.78E-31,4.29E-28,,,,,,,,,,,
GZMA,granzyme A,3001,5,1.971,1.599,5.30E-31,7.74E-28,,,,,,,,,,,
SIRPG,signal regulatory protein gamma,55423,20,1.967,1.473,7.34E-31,1.02E-27,,,,,,,,,,,
CD3E,CD3e molecule,916,11,1.86,4.424,8.55E-31,1.12E-27,,,,,,,,,,,
GBP1,guanylate binding protein 1,2633,1,1.386,7.043,1.05E-30,1.32E-27,,,,,,,,,,,
IFNG,"interferon, gamma",3458,12,2.311,-3.427,3.67E-30,4.38E-27,,,,,,,,,,,
FOXP3,forkhead box P3,50943,X,1.497,0.9705,4.51E-30,5.15E-27,,,,,,,,,,,
TNFRSF9,tumor necrosis factor receptor superfamily member 9,3604,1,1.869,0.2805,1.04E-29,1.14E-26,,,,,,,,,,,
CD38,CD38 molecule,952,4,2.164,2.358,1.78E-29,1.87E-26,,,,,,,,,,,
SLAMF1,signaling lymphocytic activation molecule family member 1,6504,1,1.883,1.298,3.38E-29,3.41E-26,,,,,,,,,,,
CD3G,CD3g molecule,917,11,1.736,2.822,3.50E-29,3.41E-26,,,,,,,,,,,
CD274,CD274 molecule,29126,9,1.625,1.944,5.43E-29,5.10E-26,,,,,,,,,,,
CD7,CD7 molecule,924,17,1.901,-0.7498,6.67E-29,6.04E-26,,,,,,,,,,,
NKG7,natural killer cell granule protein 7,4818,19,1.935,-1.094,7.92E-29,6.82E-26,,,,,,,,,,,
CD27,CD27 molecule,939,12,2.215,0.9256,8.04E-29,6.82E-26,,,,,,,,,,,
PRF1,perforin 1,5551,10,1.769,2.438,1.05E-28,8.63E-26,,,,,,,,,,,
TIGIT,T-cell immunoreceptor with Ig and ITIM domains,201633,3,1.865,-0.001534,1.17E-28,9.30E-26,,,,,,,,,,,
CD80,CD80 molecule,941,3,1.669,1.367,2.32E-28,1.79E-25,,,,,,,,,,,
